timestamp,speed_kmh,throttle,brake,steer,weather,rain,fog,num_vehicles,num_pedestrians,camera_view,collision,lane_invasion,pos_x,pos_y,pos_z,yaw
07:12.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:12.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:12.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:12.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:12.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:13.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:13.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:13.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:13.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:13.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:13.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:14.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:14.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:14.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:14.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:14.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:14.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:15.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:15.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:15.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:15.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:15.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:15.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:16.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:16.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:16.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:16.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:16.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:16.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:17.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:17.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:17.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:17.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:17.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:17.97,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:18.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:18.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:18.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:18.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:18.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:18.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:19.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:19.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:19.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:19.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:19.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:19.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:20.14,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:20.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:20.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:20.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:20.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:20.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:21.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:21.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:21.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:21.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:21.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:21.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:22.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:22.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:22.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:22.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:22.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:22.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:23.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:23.31,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:23.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:23.64,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:23.81,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:23.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:24.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:24.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:24.49,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:24.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:24.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:24.99,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:25.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:25.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:25.49,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:25.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:25.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:25.99,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:26.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:26.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:26.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:26.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:26.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:26.98,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:27.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:27.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:27.48,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:27.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:27.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:27.99,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:28.16,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:28.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:28.49,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:28.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:28.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:28.99,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:29.16,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:29.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:29.49,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:29.66,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:29.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:29.99,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:30.15,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:30.32,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:30.49,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:30.65,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:30.82,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:30.99,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
07:31.16,0.0,0.0,0.0,-0.0,Clear Day,0,0,0,0,Chase,0,0,-99.61,10.546,0.001,-79.67
